Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
NO2,Air Quality,asthma,Positive,Respiratory Health,Health Outcome,,17687439,Literature,PubMed,,
NO2,Air Quality,asthma,Positive,Respiratory Health,Health Outcome,,17687439,Literature,PubMed,,
CO,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,17675655,Literature,PubMed,,
CO,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,17675655,Literature,PubMed,,
PM2.5,Air Quality,outpatient visits for asthma,Null,Respiratory Health,Health Outcome,,17049511,Literature,PubMed,,
PM2.5,Air Quality,quick-relief medication prescriptions,Null,Respiratory Health,Health Outcome,,17049511,Literature,PubMed,,
NO2,Other,mortality,Positive,Mortality,Health Outcome,,16864555,Literature,PubMed,,
NO3-,Other,mortality,Positive,Mortality,Health Outcome,,16864555,Literature,PubMed,,
black carbon,Air Quality,inflammatory markers,Positive,Cardiovascular Disease,Health Outcome,Blood,16844771,Literature,PubMed,,
PM2.5,Air Quality,inflammatory markers,Positive,Cardiovascular Disease,Health Outcome,Blood,16844771,Literature,PubMed,,
NO2,Air Quality,ventricular arrhythmias,Positive,Cardiovascular Health,Health Outcome,,16698809,Literature,PubMed,,
ambient PM2.5,Air Quality,personal PM2.5 exposures,Positive,Respiratory Health;Exposure Assessment,Health Outcome,,16541849,Literature,PubMed,,
O3,Air Quality,Wheezing during the spring and summer months,Null,Respiratory Health,Health Outcome,,16425660,Literature,PubMed,,
NO2,Air Quality,Wheezing during the spring and summer months,Null,Respiratory Health,Health Outcome,,16425660,Literature,PubMed,,
PM2.5,Air Quality,Wheezing during the spring and summer months,Null,Respiratory Health,Health Outcome,,16425660,Literature,PubMed,,
O3,Air Quality,Asthma medication use among asthmatics,Positive,Respiratory Health,Health Outcome,,16425660,Literature,PubMed,,
PM2.5 (overall mean),Air Quality,overall mortality,Positive,Mortality;Cancer;Cardiovascular Health,Health Outcome,,16424447,Literature,PubMed,,
PM2.5 (exposure in the year of death),Air Quality,overall mortality,Positive,Mortality;Cancer;Cardiovascular Health,Health Outcome,,16424447,Literature,PubMed,,
PM2.5,Air Quality,lung cancer deaths,Positive,Mortality;Cancer;Cardiovascular Health,Health Outcome,,16424447,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular deaths,Positive,Mortality;Cancer;Cardiovascular Health,Health Outcome,,16424447,Literature,PubMed,,
decreased mean PM2.5,Air Quality,overall mortality,Negative,Mortality;Cancer;Cardiovascular Health,Health Outcome,,16424447,Literature,PubMed,,
O3,Air Quality,Paroxysmal atrial fibrillation episodes (PAF),Positive,Cardiovascular Health,Health Outcome,,16393668,Literature,PubMed,,
NO2,Air Quality,Paroxysmal atrial fibrillation episodes (PAF),Positive,Cardiovascular Health,Health Outcome,,16393668,Literature,PubMed,,
black carbon,Air Quality,Paroxysmal atrial fibrillation episodes (PAF),Positive,Cardiovascular Health,Health Outcome,,16393668,Literature,PubMed,,
PM2.5,Air Quality,fatal coronary heart disease,Positive,Cardiovascular Health,Health Outcome,,16330354,Literature,PubMed,,
PM2.5,Air Quality,fatal coronary heart disease,Positive,Cardiovascular Health,Health Outcome,,16330354,Literature,PubMed,,
PM2.5,Air Quality,fatal coronary heart disease,Null,Cardiovascular Health,Health Outcome,,16330354,Literature,PubMed,,
PM2.5,Air Quality,total mortality (1973-1982),Positive,Total Mortality,Health Outcome,,16282158,Literature,PubMed,,
PM2.5,Air Quality,total mortality (1983-2002),Null,Total Mortality,Health Outcome,,16282158,Literature,PubMed,,
PM2.5,Air Quality,total mortality (1973-2002),Null,Total Mortality,Health Outcome,,16282158,Literature,PubMed,,
supplemental heating with gas stove,Other,indoor nitrogen dioxide concentrations,Null,Asthma,Health Outcome,,16268829,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality,Positive,Mortality;Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,16222161,Literature,PubMed,,
PM2.5,Air Quality,All-cause mortality (maximal control),Positive,Mortality;Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,16222161,Literature,PubMed,,
PM2.5,Air Quality,Ischemic heart disease mortality,Positive,Mortality;Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,16222161,Literature,PubMed,,
PM2.5,Air Quality,Lung cancer mortality,Positive,Mortality;Cardiovascular Health;Respiratory Health;Cancer,Health Outcome,,16222161,Literature,PubMed,,
home heating by coal/wood stoves,Air Quality,PM2.5,Positive,Birth Outcomes;Neonatal Health,Health Outcome,,16139869,Literature,PubMed,,
other types of heating,Air Quality,PM2.5,Positive,Birth Outcomes;Neonatal Health,Health Outcome,,16139869,Literature,PubMed,,
PM2.5,Air Quality,lung function,Negative,Respiratory Health,Health Outcome,,16079081,Literature,PubMed,,
O3,Air Quality,lung function,Negative,Respiratory Health,Health Outcome,,16079081,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality,Positive,Mortality,Health Outcome,,16020032,Literature,PubMed,,
ambient PM2.5,Air Quality,personal PM2.5 exposures,Positive,,Health Outcome,,15824556,Literature,PubMed,,
ambient O3,Air Quality,personal O3 exposures,Positive,,Health Outcome,,15824556,Literature,PubMed,,
ambient NO2,Air Quality,personal NO2 exposures,Positive,,Health Outcome,,15824556,Literature,PubMed,,
ambient-generated personal exposure to PM2.5,Air Quality,FeNO,Positive,Respiratory Health,Health Outcome,Exhaled breath,15811822,Literature,PubMed,,
indoor-generated personal exposure to PM2.5,Air Quality,FeNO,Null,Respiratory Health,Health Outcome,Exhaled breath,15811822,Literature,PubMed,,
ambient-generated personal exposure to PM2.5,Air Quality,FeNO,Positive,Respiratory Health,Health Outcome,Exhaled breath,15811822,Literature,PubMed,,
indoor-generated personal exposure to PM2.5,Air Quality,FeNO,Null,Respiratory Health,Health Outcome,Exhaled breath,15811822,Literature,PubMed,,
PM2.5,Air Quality,resting systolic blood pressure,Positive,Cardiovascular Health,Health Outcome,,15466639,Literature,PubMed,,
PM2.5,Air Quality,resting diastolic blood pressure,Positive,Cardiovascular Health,Health Outcome,,15466639,Literature,PubMed,,
PM2.5,Air Quality,resting mean arterial blood pressure,Positive,Cardiovascular Health,Health Outcome,,15466639,Literature,PubMed,,
PM2.5,Air Quality,diastolic blood pressure during exercise,Positive,Cardiovascular Health,Health Outcome,,15466639,Literature,PubMed,,
PM2.5,Air Quality,mean arterial blood pressure during exercise,Positive,Cardiovascular Health,Health Outcome,,15466639,Literature,PubMed,,
PM2.5,Air Quality,fraction of exhaled nitric oxide (FE(NO)),Positive,Respiratory Health,Health Outcome,breath samples,14985553,Literature,PubMed,,
PM2.5,Air Quality,two or more exacerbations,Positive,Respiratory Health,Health Outcome,,14718248,Literature,PubMed,Aerometric Information Retrieval System;Cystic Fibrosis Foundation National Patient Registry,
O3,Air Quality,two or more exacerbations,Positive,Respiratory Health,Health Outcome,,14718248,Literature,PubMed,Aerometric Information Retrieval System;Cystic Fibrosis Foundation National Patient Registry,
PM2.5,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,14718248,Literature,PubMed,Aerometric Information Retrieval System;Cystic Fibrosis Foundation National Patient Registry,
PM2.5,Air Quality,mortality,Null,Respiratory Health,Health Outcome,,14718248,Literature,PubMed,Aerometric Information Retrieval System;Cystic Fibrosis Foundation National Patient Registry,
O3,Air Quality,wheeze,Positive,Respiratory Health,Health Outcome,,14532314,Literature,PubMed,,
O3,Air Quality,chest tightness,Positive,Respiratory Health,Health Outcome,,14532314,Literature,PubMed,,
O3,Air Quality,shortness of breath,Positive,Respiratory Health,Health Outcome,,14532314,Literature,PubMed,,
O3,Air Quality,rescue medication use,Positive,Respiratory Health,Health Outcome,,14532314,Literature,PubMed,,
PM2.5,Air Quality,respiratory symptoms,Null,Respiratory Health,Health Outcome,,14532314,Literature,PubMed,,
PM2.5,Air Quality,rescue medication use,Null,Respiratory Health,Health Outcome,,14532314,Literature,PubMed,,
NO2,Air Quality,bronchitic symptoms,Positive,Respiratory Health,Health Outcome,,12893648,Literature,PubMed,,
O3,Air Quality,bronchitic symptoms,Positive,Respiratory Health,Health Outcome,,12893648,Literature,PubMed,,
PM2.5,Air Quality,mortality,Positive,Mortality,Health Outcome,,12846486,Literature,PubMed,,
PM2.5 (constant average city-specific exposure),Air Quality,mortality,Positive,All-cause mortality,Health Outcome,,12495830,Literature,PubMed,,
PM2.5 (constant average city-specific exposure),Air Quality,mortality,Positive,All-cause mortality,Health Outcome,,12495830,Literature,PubMed,,
PM2.5 (time-dependent estimate of exposure),Air Quality,mortality,Positive,All-cause mortality,Health Outcome,,12495830,Literature,PubMed,,
O3,Air Quality,peak flow rate,Negative,Respiratory Health,Health Outcome,,12091175,Literature,PubMed,,
NO2,Air Quality,lung function growth rate,Negative,Respiratory Health,Health Outcome,,12091175,Literature,PubMed,,
PM2.5,Air Quality,lung function growth rate,Negative,Respiratory Health,Health Outcome,,12091175,Literature,PubMed,,
O3,Air Quality,evening PEFR,Null,Asthma;Respiratory Health,Health Outcome,,11999000,Literature,PubMed,,
O3,Air Quality,symptom reports,Null,Asthma;Respiratory Health,Health Outcome,,11999000,Literature,PubMed,,
O3,Air Quality,morning % PEFR,Negative,Asthma;Respiratory Health,Health Outcome,,11999000,Literature,PubMed,,
O3,Air Quality,morning symptoms,Positive,Asthma;Respiratory Health,Health Outcome,,11999000,Literature,PubMed,,
NO2,Air Quality,morning symptoms,Positive,Asthma;Respiratory Health,Health Outcome,,11999000,Literature,PubMed,,
CO,Air Quality,age specific mortality,Positive,Mortality,Health Outcome,,11886947,Literature,PubMed,,
O3,Air Quality,age specific mortality,Positive,Mortality,Health Outcome,,11886947,Literature,PubMed,,
NO2,Air Quality,age specific mortality,Positive,Mortality,Health Outcome,,11886947,Literature,PubMed,,
O3,Air Quality,asthma in children playing three or more sports,Positive,Respiratory Health,Health Outcome,,11844508,Literature,PubMed,,
O3,Air Quality,asthma in children playing three or more sports,Null,Respiratory Health,Health Outcome,,11844508,Literature,PubMed,,
O3,Air Quality,asthma in relation to time spent outside,Positive,Respiratory Health,Health Outcome,,11844508,Literature,PubMed,,
O3,Air Quality,illness-related absence rates,Positive,Respiratory Health,Health Outcome,,11138819,Literature,PubMed,,
O3,Air Quality,respiratory illnesses,Positive,Respiratory Health,Health Outcome,,11138819,Literature,PubMed,,
O3,Air Quality,upper respiratory illnesses,Positive,Respiratory Health,Health Outcome,,11138819,Literature,PubMed,,
O3,Air Quality,lower respiratory illnesses with wet cough,Positive,Respiratory Health,Health Outcome,,11138819,Literature,PubMed,,
NO2,Air Quality,school absenteeism,Null,Respiratory Health,Health Outcome,,11138819,Literature,PubMed,,
CO,Air Quality,asthma symptoms,Positive,Respiratory Health,Health Outcome,,11133403,Literature,PubMed,,
carbon monoxide and PM1.0,Air Quality,asthma symptoms,Positive,Respiratory Health,Health Outcome,,11133403,Literature,PubMed,,
PM2.5,Air Quality,growth of lung function,Negative,Respiratory Health,Health Outcome,,11051533,Literature,PubMed,,
NO2,Air Quality,growth of lung function,Negative,Respiratory Health,Health Outcome,,11051533,Literature,PubMed,,
O3,Air Quality,growth of lung function,Null,Respiratory Health,Health Outcome,,11051533,Literature,PubMed,,
PM2.5,Air Quality,growth of lung function,Negative,Respiratory Health,Health Outcome,,11029349,Literature,PubMed,,
NO2,Air Quality,growth of lung function,Negative,Respiratory Health,Health Outcome,,11029349,Literature,PubMed,,
O3,Air Quality,growth of lung function,Null,Respiratory Health,Health Outcome,,11029349,Literature,PubMed,,
PM2.5,Air Quality,infant mortality,Null,Infant Mortality,Health Outcome,,11002598,Literature,PubMed,,
CO,Air Quality,preterm birth,Positive,Reproductive Health;Neonatal Health,Health Outcome,,10955401,Literature,PubMed,,
CO,Air Quality,preterm birth,Positive,Reproductive Health;Neonatal Health,Health Outcome,,10955401,Literature,PubMed,,
PM2.5,Air Quality,all deaths (daily patterns),Positive,Respiratory Health;Cardiovascular Health;Mortality,Health Outcome,,10707911,Literature,PubMed,,
PM2.5,Air Quality,all deaths (monthly patterns),Positive,Respiratory Health;Cardiovascular Health;Mortality,Health Outcome,,10707911,Literature,PubMed,,
PM2.5,Air Quality,chronic obstructive pulmonary disease mortality,Positive,Respiratory Health;Cardiovascular Health;Mortality,Health Outcome,,10707911,Literature,PubMed,,
PM2.5,Air Quality,pneumonia mortality,Positive,Respiratory Health;Cardiovascular Health;Mortality,Health Outcome,,10707911,Literature,PubMed,,
PM2.5,Air Quality,heart attacks mortality,Positive,Respiratory Health;Cardiovascular Health;Mortality,Health Outcome,,10707911,Literature,PubMed,,
PM2.5,Air Quality,lower respiratory symptoms,Positive,Respiratory Health,Health Outcome,,10615836,Literature,PubMed,,
NO2,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,10051249,Literature,PubMed,,
PM2.5,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,10051249,Literature,PubMed,,
O3,Air Quality,PEFR,Negative,Respiratory Health,Health Outcome,,10051249,Literature,PubMed,,
PM2.5,Air Quality,MMEF,Negative,Respiratory Health,Health Outcome,,10051249,Literature,PubMed,,
O3,Air Quality,MMEF,Negative,Respiratory Health,Health Outcome,,10051249,Literature,PubMed,,
NO2,Air Quality,Wheeze prevalence,Positive,Respiratory Health,Health Outcome,,10051248,Literature,PubMed,,
O3,Air Quality,lung cancer mortality,Positive,Respiratory Health;Oncology,Health Outcome,,9927346,Literature,PubMed,,
CO,Air Quality,low birth weight,Positive,Perinatal Health,Health Outcome,,9872713,Literature,PubMed,,
O3,Air Quality,incident lung cancer in males,Positive,Oncology,Health Outcome,,9831542,Literature,PubMed,,
O3,Air Quality,personal O3 exposure levels,Positive,,Health Outcome,,9074882,Literature,PubMed,,
PM2.5,Air Quality,definite symptoms of chronic bronchitis,Positive,Respiratory Health,Health Outcome,,7492903,Literature,PubMed,,
PM2.5,Air Quality,"severity of respiratory symptoms related to general airway obstructive disease, chronic bronchitis, and asthma",Positive,Respiratory Health,Health Outcome,,7492903,Literature,PubMed,,
O3,Air Quality,asthma,Positive,Respiratory Health,Health Outcome,,8229343,Literature,PubMed,,
air quality,Other,wheezing exacerbations,Positive,Respiratory Health,Health Outcome,,1603684,Literature,PubMed,,
O3,Air Quality,interpolated ozone,Positive,,Health Outcome,,1953035,Literature,PubMed,,
O3,Air Quality,respiratory cancers,Positive,Cancer,Health Outcome,,1953034,Literature,PubMed,,
O3,Air Quality,Respiratory cancers,Positive,Cancer;Respiratory Health,Health Outcome,,1954938,Literature,PubMed,,
